timestamp,x,y,event_type,speed,acceleration
1747104105004,990,1572,move,2.64,0.33
1747104105012,1007,1580,move,2.32,0.29
1747104105018,1027,1589,move,3.67,0.61
1747104105026,1049,1595,move,2.83,0.35
1747104105034,1070,1600,move,2.7,0.34
1747104105042,1097,1604,move,3.42,0.43
1747104105048,1124,1609,move,4.59,0.77
1747104105056,1151,1611,move,3.38,0.42
1747104105064,1184,1613,move,3.93,0.47
1747104105069,1217,1613,move,7.98,1.93
1747104105077,1250,1613,move,4.04,0.49
1747104105086,1283,1613,move,3.73,0.42
1747104105094,1309,1613,move,3.28,0.41
1747104105101,1333,1613,move,3.19,0.42
1747104105106,1354,1613,move,4.66,1.03
1747104105116,1373,1613,move,1.74,0.16
1747104105125,1387,1615,move,1.71,0.21
1747104105129,1398,1615,move,2.74,0.68
1747104105137,1406,1615,move,1.0,0.12
1747104105145,1410,1617,move,0.56,0.07
1747104105153,1415,1617,move,0.63,0.08
1747104105161,1417,1617,move,0.25,0.03
1747104105165,1420,1617,move,0.75,0.19
1747104105173,1421,1617,move,0.12,0.02
1747104105181,1422,1617,move,0.13,0.02
1747104105189,1424,1617,move,0.25,0.03
1747104105197,1427,1617,move,0.38,0.05
1747104105205,1430,1617,move,0.35,0.04
1747104105213,1432,1617,move,0.25,0.03
1747104105222,1437,1618,move,0.56,0.06
1747104105225,1441,1618,move,1.33,0.44
1747104105234,1449,1620,move,1.02,0.13
1747104105242,1460,1622,move,1.4,0.17
1747104105250,1471,1624,move,1.32,0.16
1747104105258,1485,1625,move,1.65,0.19
1747104105266,1499,1625,move,1.86,0.25
1747104105274,1510,1627,move,1.4,0.17
1747104105282,1516,1627,move,0.71,0.08
1747104105286,1520,1627,move,1.0,0.25
1747104105296,1521,1627,move,0.1,0.01
1747104105304,1522,1627,move,0.13,0.02
1747104105349,1522,1627,press_left,0,0
1747104105387,1522,1627,release_left,0,0
1747104105580,1524,1627,move,0.01,0.0
1747104105588,1525,1627,move,0.13,0.02
1747104105597,1526,1627,move,0.11,0.01
1747104105603,1527,1627,move,0.16,0.03
1747104105611,1529,1626,move,0.28,0.04
1747104105618,1532,1625,move,0.42,0.06
1747104105627,1533,1625,move,0.11,0.01
1747104105634,1536,1623,move,0.55,0.08
1747104105642,1537,1623,move,0.12,0.02
1747104105646,1538,1622,move,0.35,0.09
1747104105656,1539,1622,move,0.1,0.01
1747104105663,1540,1622,move,0.15,0.02
1747104105673,1542,1622,move,0.19,0.02
1747104105676,1543,1621,move,0.44,0.14
1747104105688,1544,1621,move,0.09,0.01
1747104105691,1545,1621,move,0.26,0.07
1747104105703,1545,1620,move,0.09,0.01
1747104105706,1546,1620,move,0.28,0.08
1747104105715,1547,1620,move,0.12,0.01
1747104105731,1548,1619,move,0.09,0.01
1747104105735,1549,1619,move,0.25,0.06
1747104105743,1551,1619,move,0.25,0.03
1747104107620,1549,1616,move,0.0,0.0
1747104107628,1542,1611,move,1.07,0.13
1747104107636,1533,1604,move,1.43,0.18
1747104107643,1519,1597,move,2.38,0.36
1747104107651,1504,1589,move,2.21,0.29
1747104107659,1490,1583,move,1.88,0.23
1747104107667,1476,1579,move,1.82,0.23
1747104107673,1464,1573,move,2.23,0.37
1747104107681,1452,1567,move,1.66,0.21
1747104107689,1438,1559,move,1.98,0.24
1747104107697,1421,1550,move,2.4,0.3
1747104107703,1399,1544,move,3.84,0.65
1747104107710,1370,1532,move,4.2,0.56
1747104107719,1335,1516,move,4.68,0.57
1747104107723,1294,1498,move,9.86,2.17
1747104107733,1252,1474,move,4.95,0.51
1747104107741,1214,1451,move,5.77,0.75
1747104107745,1167,1426,move,11.96,2.69
1747104107757,1125,1402,move,4.09,0.35
1747104107761,1083,1381,move,10.59,2.39
1747104107770,1042,1360,move,5.59,0.68
1747104107777,1005,1340,move,5.42,0.7
1747104107785,978,1323,move,3.99,0.5
1747104107789,956,1299,move,8.13,2.03
1747104107797,938,1278,move,3.46,0.43
1747104107805,920,1255,move,3.65,0.46
1747104107813,904,1233,move,3.4,0.42
1747104107821,886,1215,move,3.17,0.39
1747104107830,871,1198,move,2.72,0.33
1747104107838,855,1178,move,3.12,0.38
1747104107846,845,1163,move,2.4,0.32
1747104107850,837,1151,move,3.61,0.9
1747104107857,831,1142,move,1.35,0.17
1747104107866,828,1137,move,0.73,0.09
1747104107873,825,1133,move,0.63,0.08
1747104107881,824,1130,move,0.4,0.05
1747104107889,823,1129,move,0.18,0.02
1747104107897,823,1126,move,0.38,0.05
1747104107905,821,1124,move,0.35,0.04
1747104107912,818,1119,move,0.9,0.14
1747104107917,816,1115,move,0.81,0.15
1747104107926,812,1108,move,1.01,0.13
1747104107933,807,1101,move,1.08,0.14
1747104107941,801,1092,move,1.35,0.17
1747104107949,794,1082,move,1.53,0.19
1747104107957,788,1073,move,1.35,0.17
1747104107965,781,1063,move,1.53,0.19
1747104107972,775,1054,move,1.55,0.22
1747104107981,772,1048,move,0.79,0.09
1747104107985,769,1043,move,1.28,0.28
1747104107993,767,1039,move,0.56,0.07
1747104108001,766,1034,move,0.65,0.08
1747104108009,764,1030,move,0.56,0.07
1747104108018,763,1025,move,0.62,0.07
1747104108027,761,1017,move,0.87,0.09
1747104108029,760,1011,move,2.87,1.35
1747104108041,758,1002,move,0.8,0.07
1747104108046,756,994,move,1.46,0.26
1747104108055,756,988,move,0.73,0.09
1747104108063,755,983,move,0.63,0.08
1747104108071,755,981,move,0.25,0.03
1747104108079,755,978,move,0.37,0.05
1747104108087,755,977,move,0.13,0.02
1747104108090,755,976,move,0.28,0.08
1747104108101,755,975,move,0.1,0.01
1747104108108,755,974,move,0.15,0.02
1747104108116,757,971,move,0.42,0.05
1747104108120,762,968,move,1.46,0.36
1747104108128,768,965,move,0.84,0.11
1747104108136,780,959,move,1.68,0.21
1747104108144,792,953,move,1.68,0.21
1747104108152,801,949,move,1.23,0.15
1747104108160,810,946,move,1.19,0.15
1747104108168,814,943,move,0.63,0.08
1747104108176,819,941,move,0.67,0.08
1747104108180,821,940,move,0.56,0.14
1747104108188,823,940,move,0.25,0.03
1747104108199,823,939,move,0.1,0.01
1747104108323,823,938,move,0.01,0.0
1747104108520,824,938,move,0.01,0.0
1747104108529,826,939,move,0.26,0.03
1747104108532,833,944,move,2.5,0.73
1747104108542,845,952,move,1.59,0.18
1747104108549,865,963,move,3.23,0.46
1747104108558,884,976,move,2.51,0.27
1747104108563,910,990,move,5.82,1.15
1747104108569,945,1007,move,5.98,0.92
1747104108577,986,1024,move,5.55,0.7
1747104108585,1032,1046,move,6.38,0.8
1747104108594,1078,1064,move,5.68,0.65
1747104108602,1128,1083,move,6.69,0.84
1747104108610,1178,1102,move,6.69,0.84
1747104108618,1235,1125,move,7.62,0.94
1747104108622,1295,1145,move,15.77,3.93
1747104108633,1356,1165,move,5.93,0.55
1747104108638,1417,1189,move,13.62,2.83
1747104108646,1477,1205,move,7.99,1.03
1747104108654,1536,1222,move,7.68,0.96
1747104108662,1591,1238,move,6.43,0.72
1747104108667,1646,1254,move,13.51,3.19
1747104108678,1683,1262,move,3.2,0.27
1747104108684,1721,1273,move,6.61,1.11
1747104108692,1745,1277,move,3.04,0.38
1747104108700,1767,1284,move,2.89,0.36
1747104108708,1786,1288,move,2.42,0.3
1747104108713,1806,1295,move,4.7,1.04
1747104108722,1825,1301,move,2.13,0.23
1747104108730,1844,1305,move,2.39,0.3
1747104108738,1866,1312,move,2.89,0.36
1747104108744,1885,1316,move,3.23,0.54
1747104108751,1904,1323,move,3.21,0.51
1747104108758,1926,1329,move,2.97,0.39
1747104108768,1943,1335,move,1.8,0.18
1747104108772,1960,1340,move,4.41,1.1
1747104108780,1976,1344,move,2.06,0.26
1747104108789,1993,1348,move,2.02,0.23
1747104108797,2009,1352,move,2.11,0.27
